iter	MultiClass
0	1.507816366
1	1.320461167
2	1.179845646
3	1.070898437
4	0.9831889692
5	0.9080303869
6	0.8431340048
7	0.7857459291
8	0.7356071151
9	0.6900375659
10	0.6522717862
11	0.6155566531
12	0.58429019
13	0.5566605803
14	0.5311542146
15	0.5069993527
16	0.4847923152
17	0.4661955033
18	0.4484043243
19	0.4314578157
20	0.417176431
21	0.4026790614
22	0.3905115042
23	0.3795924005
24	0.3697030527
25	0.3591720795
26	0.350139157
27	0.3427514243
28	0.3341799369
29	0.3268021507
30	0.3201059626
31	0.3143477673
32	0.3080353446
33	0.3030423102
34	0.298297314
35	0.2947050794
36	0.2909167527
37	0.2877534635
38	0.2829692426
39	0.2797623324
40	0.2760096758
41	0.2737544775
42	0.2712691072
43	0.2681049137
44	0.2649148719
45	0.2632949069
46	0.2611082893
47	0.2581732544
48	0.2555216939
49	0.2539406885
50	0.2516878754
51	0.2501819206
52	0.2488173055
53	0.2470282193
54	0.2453298673
55	0.2432002159
56	0.2419133641
57	0.2396025091
58	0.2379891075
59	0.2365894147
60	0.2352934739
61	0.2336627049
62	0.2328030836
63	0.2313372888
64	0.2294875261
65	0.228827941
66	0.2275439266
67	0.2264135992
68	0.2251545756
69	0.2243234374
70	0.2233099732
71	0.2219942485
72	0.2199648413
73	0.2189139141
74	0.2182370552
75	0.2168130887
76	0.2156445811
77	0.2146016673
78	0.2137847628
79	0.2128976873
80	0.2122330979
81	0.2110007645
82	0.2104743032
83	0.2094849724
84	0.2088432848
85	0.2083784042
86	0.2075467515
87	0.206686834
88	0.2058418985
89	0.2045840287
90	0.2039273901
91	0.2031309866
92	0.202356908
93	0.2017484117
94	0.20104268
95	0.1999638154
96	0.199116635
97	0.1986820771
98	0.1980259219
99	0.197118174
100	0.1961590724
101	0.1951688686
102	0.19438224
103	0.1936851609
104	0.1930817625
105	0.192545074
106	0.191709555
107	0.1911324882
108	0.190607009
109	0.1896004824
110	0.1888734859
111	0.1878493892
112	0.1869879439
113	0.1864008059
114	0.1856127899
115	0.1845674907
116	0.1841495675
117	0.1833662908
118	0.1827060977
119	0.1819701369
120	0.1812863093
121	0.1807552956
122	0.1801243808
123	0.1794674772
124	0.178412902
125	0.177957812
126	0.1770672756
127	0.1766748265
128	0.1760413081
129	0.1756946627
130	0.1750805072
131	0.1744559842
132	0.1740371256
133	0.1735138758
134	0.1730870974
135	0.1725630525
136	0.1720366068
137	0.1715066532
138	0.1707108733
139	0.1698400739
140	0.1693018108
141	0.1686777088
142	0.1676917299
143	0.1668720659
144	0.1663577337
145	0.165634354
146	0.1652341723
147	0.1643596937
148	0.1638076802
149	0.163174115
150	0.1628079352
151	0.1623794419
152	0.1620088658
153	0.1616114279
154	0.1610854498
155	0.1604055665
156	0.1596514744
157	0.1592017319
158	0.1589553619
159	0.1584720538
160	0.1582487883
161	0.1575474999
162	0.1569806914
163	0.1567187313
164	0.1564171412
165	0.1560254093
166	0.155663626
167	0.15516518
168	0.1547525262
169	0.1543172512
170	0.1538738226
171	0.1533775904
172	0.1530138583
173	0.1525319846
174	0.1518628273
175	0.1513578179
176	0.150967224
177	0.1506979054
178	0.1504382683
179	0.1499380294
180	0.1493592946
181	0.1489926315
182	0.1486667365
183	0.1483370687
184	0.1480053742
185	0.1475470259
186	0.1469531998
187	0.1464922324
188	0.1459911049
189	0.1457708951
190	0.145413664
191	0.1449941662
192	0.1445525772
193	0.1441963283
194	0.1438105675
195	0.1435149952
196	0.1429502446
197	0.1423353875
198	0.1418255607
199	0.1415628679
200	0.1409921308
201	0.1406369264
202	0.1400661269
203	0.1397201674
204	0.1394279003
205	0.1390704353
206	0.1386691623
207	0.138287907
208	0.137903861
209	0.1371619603
210	0.136819649
211	0.1364103159
212	0.1361457523
213	0.1357294972
214	0.1353682439
215	0.1349639308
216	0.1346392362
217	0.1343996635
218	0.1340291029
219	0.1337248158
220	0.1331484194
221	0.1328541567
222	0.1323920512
223	0.1320377199
224	0.131817853
225	0.1314195421
226	0.1311814037
227	0.1308160346
228	0.1305095181
229	0.1302270025
230	0.1298952066
231	0.1295110125
232	0.129081958
233	0.1288021239
234	0.1286296508
235	0.1283163604
236	0.1281668282
237	0.1279070117
238	0.127356339
239	0.1271672313
240	0.1267651242
241	0.1265430826
242	0.1263363036
243	0.1260774225
244	0.1258075661
245	0.1256464348
246	0.1253844669
247	0.1250265499
248	0.1248354389
249	0.1246759368
250	0.1243057816
251	0.1241731256
252	0.1237914493
253	0.1234656245
254	0.1232122468
255	0.1226706864
256	0.1224064346
257	0.1220582458
258	0.1216295498
259	0.1213015112
260	0.1209833956
261	0.1207565834
262	0.1204633886
263	0.1200421135
264	0.1197480612
265	0.1195676606
266	0.1192866729
267	0.1190671568
268	0.1188833965
269	0.1187110326
270	0.1182741129
271	0.1181144938
272	0.1179310142
273	0.1176712757
274	0.1173753994
275	0.1171625871
276	0.1167576114
277	0.1165449315
278	0.1162775773
279	0.1160300224
280	0.1157279101
281	0.1154271853
282	0.1150826134
283	0.1147423521
284	0.1143914974
285	0.1142602446
286	0.1139561757
287	0.1138116323
288	0.1136720777
289	0.1133552951
290	0.1131317489
291	0.1129206827
292	0.1126734552
293	0.1124130152
294	0.1122171804
295	0.112013153
296	0.111847298
297	0.1117081799
298	0.1113739442
299	0.1110990522
