iter	Passed	Remaining
0	87	26044
1	112	16822
2	138	13667
3	163	12081
4	187	11072
5	212	10432
6	238	9978
7	268	9809
8	295	9540
9	321	9323
10	347	9135
11	374	8988
12	401	8863
13	429	8766
14	455	8650
15	482	8562
16	510	8503
17	537	8425
18	565	8356
19	593	8302
20	617	8198
21	645	8159
22	672	8093
23	698	8033
24	723	7962
25	751	7919
26	777	7866
27	802	7800
28	830	7759
29	856	7712
30	884	7678
31	910	7624
32	937	7582
33	963	7540
34	987	7477
35	1012	7427
36	1040	7396
37	1067	7362
38	1095	7332
39	1121	7287
40	1145	7236
41	1168	7176
42	1195	7143
43	1220	7102
44	1244	7054
45	1271	7019
46	1295	6975
47	1322	6942
48	1346	6895
49	1368	6841
50	1392	6797
51	1414	6745
52	1438	6704
53	1461	6659
54	1482	6602
55	1507	6566
56	1527	6510
57	1554	6487
58	1576	6440
59	1603	6413
60	1624	6363
61	1651	6337
62	1672	6292
63	1698	6264
64	1722	6229
65	1746	6191
66	1770	6156
67	1790	6108
68	1814	6075
69	1838	6040
70	1859	5998
71	1884	5966
72	1912	5945
73	1933	5903
74	1955	5866
75	1978	5831
76	2003	5801
77	2024	5762
78	2047	5726
79	2068	5687
80	2089	5648
81	2111	5614
82	2134	5580
83	2159	5552
84	2180	5515
85	2200	5475
86	2222	5441
87	2244	5408
88	2266	5373
89	2291	5347
90	2313	5312
91	2335	5279
92	2357	5247
93	2378	5212
94	2400	5179
95	2422	5148
96	2445	5117
97	2467	5086
98	2489	5054
99	2513	5026
100	2535	4996
101	2562	4973
102	2590	4954
103	2612	4924
104	2635	4894
105	2657	4863
106	2684	4841
107	2705	4810
108	2726	4777
109	2750	4751
110	2773	4723
111	2797	4696
112	2821	4669
113	2844	4640
114	2870	4618
115	2895	4592
116	2917	4562
117	2945	4542
118	2966	4511
119	2990	4486
120	3012	4456
121	3035	4428
122	3058	4401
123	3080	4372
124	3105	4347
125	3126	4317
126	3148	4289
127	3169	4258
128	3192	4232
129	3216	4206
130	3236	4175
131	3258	4147
132	3281	4119
133	3302	4091
134	3324	4063
135	3348	4037
136	3372	4012
137	3393	3983
138	3419	3960
139	3442	3934
140	3466	3909
141	3490	3883
142	3513	3857
143	3539	3834
144	3562	3808
145	3586	3783
146	3608	3755
147	3634	3732
148	3657	3706
149	3679	3679
150	3700	3651
151	3723	3625
152	3746	3599
153	3767	3572
154	3789	3545
155	3813	3520
156	3836	3494
157	3859	3468
158	3883	3443
159	3908	3419
160	3930	3393
161	3954	3368
162	3981	3346
163	4001	3318
164	4023	3291
165	4046	3266
166	4067	3239
167	4092	3215
168	4114	3189
169	4138	3164
170	4163	3140
171	4186	3115
172	4208	3089
173	4228	3062
174	4253	3038
175	4278	3014
176	4302	2989
177	4323	2962
178	4344	2937
179	4369	2912
180	4395	2890
181	4420	2865
182	4444	2841
183	4466	2815
184	4488	2790
185	4514	2766
186	4538	2742
187	4560	2716
188	4582	2691
189	4603	2664
190	4625	2639
191	4649	2615
192	4673	2591
193	4696	2566
194	4717	2540
195	4740	2515
196	4766	2492
197	4791	2468
198	4815	2443
199	4837	2418
200	4863	2395
201	4886	2370
202	4909	2346
203	4932	2321
204	4954	2296
205	4975	2270
206	4999	2246
207	5022	2221
208	5048	2197
209	5074	2174
210	5095	2149
211	5117	2124
212	5138	2098
213	5161	2074
214	5185	2050
215	5207	2025
216	5227	1999
217	5251	1975
218	5275	1951
219	5297	1926
220	5322	1902
221	5345	1878
222	5368	1853
223	5391	1829
224	5415	1805
225	5439	1781
226	5461	1756
227	5485	1732
228	5508	1707
229	5530	1683
230	5551	1658
231	5575	1634
232	5597	1609
233	5620	1585
234	5642	1560
235	5666	1536
236	5687	1511
237	5709	1487
238	5736	1464
239	5759	1439
240	5782	1415
241	5806	1391
242	5826	1366
243	5847	1342
244	5869	1317
245	5889	1292
246	5911	1268
247	5931	1243
248	5952	1219
249	5974	1194
250	5996	1170
251	6017	1146
252	6040	1122
253	6063	1098
254	6085	1073
255	6109	1050
256	6132	1025
257	6152	1001
258	6177	977
259	6200	953
260	6225	930
261	6247	906
262	6269	882
263	6295	858
264	6318	834
265	6340	810
266	6364	786
267	6387	762
268	6408	738
269	6429	714
270	6452	690
271	6473	666
272	6494	642
273	6517	618
274	6540	594
275	6563	570
276	6589	547
277	6613	523
278	6636	499
279	6659	475
280	6681	451
281	6705	428
282	6730	404
283	6756	380
284	6782	356
285	6802	333
286	6825	309
287	6847	285
288	6868	261
289	6890	237
290	6911	213
291	6934	189
292	6956	166
293	6980	142
294	7007	118
295	7033	95
296	7056	71
297	7077	47
298	7102	23
299	7125	0
